Heading,Sentences
Work under pressure,"The Job applicant must work under pressure and perform well. 
The applicant should work under pressure and perform well. 
The contestant must work under pressure and perform well. 
The aspirant should work under pressure and perform well. 
The competitor should work under pressure and perform well."
Handling heavy loads,"Job seekers should be handling heady loads safely.
The applicant should be handling heady loads safely.
The contestant should be handling heady loads safely.
The aspirant should be handling heady loads safely.
The competitor should be handling heady loads safely."
Attention to detail,"Job seekers must pay attention to detail to maintain efficiency while producing accurate work.
The applicant should pay attention to detail to maintain efficiency while producing accurate work.
The contestant should pay attention to detail to maintain efficiency while producing accurate work.
The aspirant should pay attention to detail to maintain efficiency while producing accurate work.
The competitor should pay attention to detail to maintain efficiency while producing accurate work."
"Combination of sitting, standing, walking","The Job applicant must follow a combination of sitting, standing, and walking, which is essential to healthy and safe work.
The applicant should follow a combination of sitting, standing, and walking, essential to healthy and safe work.
The contestant should follow a combination of sitting, standing, and walking, essential to healthy and safe work.
The aspirant should follow a combination of sitting, standing, and walking, essential to healthy and safe work.
The competitor should follow a combination of sitting, standing, and walking, essential to healthy and safe work."
Repetitive tasks,"The employee should be able to perform repetitive tasks; the more you practice, the better your performance.
Job seekers should be able to perform repetitive tasks; the more you practice, the better your performance.
The applicant should be able to perform repetitive tasks; the more you practice, the better your performance.
The aspirant should be able to perform repetitive tasks; the more you practice, the better your performance.
The contestant should be able to perform repetitive tasks; the more you practice, the better your performance."
Sitting,"The employee should work in a sitting position to help maintain good posture and a healthy back and spine.
Job seekers should work in a sitting position to help maintain good posture and a healthy back and spine.
The applicant should work in a sitting position to help maintain good posture and a healthy back and spine.
The aspirant should work in a sitting position to help maintain good posture and a healthy back and spine.
The contestant should work in a sitting position to help maintain good posture and a healthy back and spine."
Tight deadlines,"The Job applicant must follow tight deadlines, which increases productivity and motivation. 
The applicant must follow tight deadlines, which increases productivity and motivation. 
The contestant should follow tight deadlines, which increases productivity and motivation. 
The aspirant must follow tight deadlines, which increases productivity and motivation. 
The competitor should follow tight deadlines, which increases productivity and motivation. "
"Bending, crouching, kneeling","The Job applicant should work in bending, crouching, and kneeling position
The applicant must work in bending, squatting, and kneeling position
The contestant should work in bending, squatting, and kneeling position 
The aspirant must work in bending, squatting, and kneeling position
The competitor should work in bending, crouching, and kneeling position"
Large workload,"The employee should handle a large workload; it will get noticed, and you will give rise to reflect your abilities.
The Job applicant should handle a large workload; it will get noticed, and you will give rise to reflect your abilities.
The applicant must handle a large workload; it will get noticed, and you will give rise to reflect your abilities.
The contestant should handle a large workload; it will get noticed, and you will give rise to reflect your abilities.
The aspirant must handle a large workload; it will get noticed, and you will give rise to reflect your abilities."
Fast-paced environment,"The employee should be ready to work in a fast-paced environment that teaches many new skills to juggle multiple tasks simultaneously.
The Job applicant should be ready to work in a fast-paced environment that teaches many new skills to juggle multiple tasks simultaneously.
The applicant must be ready to work in a fast-paced environment that teaches many new skills to juggle multiple tasks simultaneously.
The contestant should be ready to work in a fast-paced environment that teaches many new skills to juggle multiple tasks simultaneously.
The aspirant must be ready to work in a fast-paced environment that teaches many new skills to juggle multiple tasks simultaneously."
